time,file,useWordModel,useTfIdfSimilarity,useSentimentSimilarity,usePageRank,useAggregateClustering,anaphoraResolution,ROUGE-1,ROUGE-2,ROUGE-3,ROUGE-SU4,ROUGE-L
52:34.7,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,0.5416,0.2596,0.1965,0.2541,0.4803
53:03.8,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,0.5416,0.2596,0.1965,0.2541,0.4803
57:11.5,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0.527,0.264,0.1998,0.2536,0.4988
01:24.6,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.4966,0.2008,0.1304,0.1974,0.4643
05:39.5,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.5314,0.2481,0.1883,0.2469,0.5008
10:01.4,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.534,0.2504,0.1864,0.2479,0.5041
10:31.5,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.4803,0.1916,0.137,0.1919,0.4151
11:01.6,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.4803,0.1916,0.137,0.1919,0.4151
11:31.8,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0.4803,0.1916,0.137,0.1919,0.4151
12:01.8,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.4803,0.1916,0.137,0.1919,0.4151
15:52.8,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,0.313,0.1366,0.0982,0.1296,0.2921
19:59.0,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0.3667,0.1677,0.1225,0.1605,0.3469
24:31.9,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.3932,0.1479,0.0959,0.145,0.3673
29:18.4,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.3827,0.1301,0.0813,0.1273,0.3564
29:47.6,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.5416,0.2596,0.1965,0.2541,0.4803
30:16.7,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0.5416,0.2596,0.1965,0.2541,0.4803
30:46.0,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.5416,0.2596,0.1965,0.2541,0.4803
31:15.2,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.5416,0.2596,0.1965,0.2541,0.4803
35:22.0,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0.4827,0.2016,0.1335,0.1987,0.4564
39:21.9,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.4941,0.2307,0.1579,0.22,0.4654
43:28.1,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.5095,0.2252,0.1524,0.2185,0.4745
47:46.7,d061j-d061j-d063j-d063j-d064j-d064j-d067f-d067f-d068f,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5087,0.223,0.162,0.2241,0.4753
